Transcript	Gene	sw480-1	sw480-2	sw480-3	sw480_APC_1	sw480_APC_2	sw480_APC_3	sw480_CONTROL_1	sw480_CONTROL_2	sw480_CONTROL_3
NM_153254	TTLL10	0.045726042	0.045508139	0	0.067448027	0.048089162	0.121734023	0.022493757	0	0
NM_004195	TNFRSF18	1.247996926	1.282115817	0.952367306	4.869353771	4.022157192	4.072712898	1.386271477	1.122979999	1.677704692
NM_148901	TNFRSF18	1.074631214	1.020896077	0.722219884	4.611289501	3.287761927	4.057324409	1.297564507	1.035548806	1.758050799
NM_148902	TNFRSF18	1.065350771	1.182613254	0.726997912	4.391977787	3.490501881	3.665277958	1.209397078	0.914385736	1.552352309
NM_003327	TNFRSF4	0.043758661	0	0	0	0.138060331	0.093197092	0	0	0
NM_016176	SDF4	65.89404297	54.78477097	55.08375168	71.39980316	67.44007111	67.62624359	40.97110748	44.62595749	41.70501709
NM_016547	SDF4	62.5222435	51.96976852	52.22874832	67.88143158	64.16123962	64.26990509	38.8148613	42.25514603	39.61346436
NM_080605	B3GALT6	15.67638302	13.10472012	12.75735474	15.73887825	14.88519764	14.57479668	8.307415009	9.61451149	8.030171394
NM_001014980	FAM132A	0.509496808	0.322680175	0.319586337	0.136642069	0.048711598	0.098647736	0.182279229	0.258403838	0.263215274
NM_058167	UBE2J2	28.45133781	21.40169144	23.95667267	33.29616547	31.3604641	29.15963745	19.97913361	19.46233749	18.80838013
NM_194315	UBE2J2	27.88055992	20.95659447	23.45844078	32.62427902	30.73026276	28.59777641	19.58421516	19.05757523	18.43704224
NM_194457	UBE2J2	27.68326187	20.59575653	23.01517105	32.35488129	30.09235191	28.10253525	19.19925117	18.55844498	17.7520504
NM_194458	UBE2J2	27.17791939	20.36680603	22.84246445	31.93573189	29.9435463	27.80043221	18.97989082	18.47910881	17.92684364
NM_001130413	SCNN1D	1.961488366	2.440176487	1.605989337	0.855541646	0.632166207	0.774872482	0.871526301	1.359048605	1.048752904
NR_037668	SCNN1D	2.023778915	2.517668486	1.640902996	0.882710874	0.652241707	0.782099903	0.883145928	1.402207494	1.066599727
NM_030649	ACAP3	11.12957668	9.337036133	8.778804779	10.12296295	9.069155693	10.12746716	5.854234695	6.209102631	5.441007137
NM_153339	PUSL1	13.36304855	11.90351486	10.29171085	24.32761192	21.42874336	20.16304016	10.46411324	9.693854332	9.224916458
NM_001256456	CPSF3L	33.35178757	33.3391571	33.65345001	38.59740829	37.49106979	38.09928513	25.83468246	25.93661118	25.67116547
NM_001256460	CPSF3L	38.63911057	38.53996277	39.05421448	44.69290543	43.48723221	44.21569824	29.9919796	30.05993843	29.78257942
NM_001256462	CPSF3L	37.15321732	35.42688751	35.77770996	41.81641388	41.28344727	41.44317627	27.92538261	28.31212616	27.69417191
NM_001256463	CPSF3L	39.86255646	38.86824417	39.08663177	45.58309555	44.85641479	45.1425972	29.98475838	30.77680588	30.07571602
NM_017871	CPSF3L	40.53432083	40.43035889	40.99243164	46.88893509	45.64545822	46.41007996	31.48045349	31.55178261	31.26065826
NM_001029885	GLTPD1	11.25681019	8.528437614	9.293505669	18.2614975	16.10136986	15.13082218	7.238845825	7.668832302	6.655736923
NM_152228	TAS1R3	0.075513184	0.018788334	0.074432768	0.167078167	0.059561774	0.04020695	0.111440338	0.084256418	0.017880261
NM_004421	DVL1	23.47738838	21.9842968	21.46409035	34.5246315	29.9728756	29.99773407	16.95385361	18.06599998	17.29135513
NM_032348	MXRA8	1.466502309	1.565275788	1.466469646	0.982303977	0.737617493	0.860053778	0.878236234	0.592862308	0.764941633
NM_001127229	AURKAIP1	132.970871	101.7653122	114.0954819	155.635376	139.5074615	133.5640564	88.36582184	92.62547302	93.17227173
NM_017900	AURKAIP1	115.4061737	90.28232574	100.3352661	138.007019	125.1679916	119.7260666	79.50357056	83.2502594	83.56171417
NM_001127230	AURKAIP1	136.9564056	107.7640533	120.1014862	161.8242645	148.9147186	142.296814	95.00008392	99.57458496	100.1326141
NM_030937	CCNL2	32.4131546	34.00282288	32.04111862	35.03083038	30.0433445	32.91476059	22.42956161	23.18782616	21.98912048
NM_001039577	CCNL2	31.93954277	33.85869217	31.79817772	32.47088623	31.35925102	31.11408424	24.02061081	23.7137661	21.75949097
NR_015434	LOC148413	14.95164204	15.29297161	15.82738495	13.12662888	15.63714695	13.95013332	12.09985256	13.13655376	12.69534302
NM_017971	MRPL20	76.38578796	83.8928833	86.01189423	109.140419	114.5738678	109.4868851	71.84512329	75.59662628	78.40248108
NM_001145210	ANKRD65	0.264468402	0.06580203	0.217237085	0.043344792	0.046356019	0.04693868	0.043366157	0.024590805	0.062621698
NM_001243535	ANKRD65	0.351129442	0.08736404	0.288421363	0.057548024	0.061545968	0.062319558	0.057576388	0.032648724	0.08314158
NM_001243536	ANKRD65	0.355217367	0.088381156	0.29177919	0.058218006	0.062262498	0.063045092	0.058246702	0.033028826	0.084109537
NM_001146685	TMEM88B	0.68733114	0	0.290355861	0	0	0	0	0	0
NM_022834	VWA1	2.021971464	1.506672025	1.461563945	0.774940491	0.654297471	0.563143313	0.65290314	0.613191962	0.874060333
NM_199121	VWA1	1.574819207	1.353077292	1.239596248	0.646187127	0.488521159	0.530856252	0.546185732	0.505657077	0.740416408
NM_001039211	ATAD3C	1.264386058	1.196065545	1.246295691	0.910970747	1.105913639	1.146476388	1.243964791	1.131419182	1.304253578
NM_031921	ATAD3B	19.55812454	18.79303551	20.1590271	24.21179771	22.15592957	22.26525688	16.25334167	18.87603378	16.62471771
NM_001170535	ATAD3A	30.02452469	24.3279171	28.18656921	37.10092545	33.11946487	34.1114769	29.90052986	31.5188427	31.89358139
NM_018188	ATAD3A	28.53659821	23.36736107	27.0125351	35.36909103	31.54746056	32.52726364	28.52477074	29.9053936	30.31350899
NM_001170536	ATAD3A	31.34321022	25.70966721	29.85336685	38.99068451	34.64059067	36.04665375	31.79490471	33.49292755	33.86540985
NM_001114748	TMEM240	0	0	0	0	0	0	0.042550858	0	0
NM_014188	SSU72	41.15396118	38.92840195	41.95386124	52.1726265	52.91175079	55.82727814	43.91810226	45.05020142	42.91122437
NM_001242659	C1orf233	4.763891697	3.498353481	3.738349199	0.591265321	0.802587152	0.788048565	2.229713917	2.21908164	2.518857002
NM_001170686	MIB2	4.967489243	4.336681843	3.865592003	3.956444025	3.589734316	3.186298132	3.25817275	3.046834707	3.370450497
NM_001170687	MIB2	4.983389378	4.478264332	3.944118023	3.978041887	3.606993437	3.277732611	3.331089258	3.041858435	3.373363972
NM_001170688	MIB2	5.0876441	4.405616283	3.89370656	4.156576633	3.620931864	3.224506855	3.342022657	2.984133005	3.362882614
NM_080875	MIB2	5.05093956	4.479531765	3.951553583	4.084538937	3.652931929	3.267314672	3.346131563	3.068177938	3.4131639
NR_033183	MIB2	5.030632973	4.683153152	3.951668024	4.0184412	3.776685953	3.379103661	3.350351572	3.177878857	3.503872156
NM_001170689	MIB2	5.150167465	4.634350777	3.989821911	4.223105431	3.68587184	3.346715212	3.46432972	3.121088982	3.506473541
NM_006983	MMP23B	0.233755946	0.038773667	0.076803811	0.038311206	0.040972739	0.041487738	0.076660171	0.043470196	0.073799334
NR_002946	MMP23A	0.213287234	0.05306771	0.105117798	0.052434757	0.05607748	0.056782331	0.104921207	0.059495632	0.101005703
NM_033486	CDK11B	21.89980888	23.44186401	22.26590347	18.6692524	18.72352219	19.92358589	20.90669441	21.97433281	20.21975327
NM_033487	CDK11B	21.78666306	23.76562119	22.56063652	18.82472229	19.06680298	19.82254791	21.26139832	22.41658592	20.6765995
NM_033488	CDK11B	21.12931252	22.66569901	21.77280617	18.15892029	18.16419411	19.41431046	20.42199707	21.36894035	19.69697189
NM_033489	CDK11B	21.58471107	23.02038956	21.90444756	18.37527847	18.41216469	19.65191078	20.57068443	21.66902351	19.94943619
NM_033492	CDK11B	21.24278069	22.85095215	21.91184235	18.28792381	18.3126545	19.48889351	20.53063965	21.45548248	19.76446724
NM_033493	CDK11B	21.4398613	23.08603287	22.13663483	18.45270157	18.4749794	19.68507385	20.75970078	21.67258644	19.96607208
NM_001110781	SLC35E2B	7.596906185	7.68885088	7.281968594	4.526631832	4.595663071	5.18475771	5.431468487	5.181085587	5.274507523
NR_002946_2	MMP23A	0.053321809	0.05306771	0.210235596	0.104869515	0.112154961	0.056782331	0.052460603	0.118991263	0.050502852
NM_024011	CDK11A	18.16895485	17.18557358	16.53138542	13.45427513	14.0988636	14.68732262	15.17970562	16.98961449	15.15316296
NM_033529	CDK11A	17.96959496	17.03234482	16.4839859	13.29872417	13.94871807	14.619277	15.11713982	16.83302689	15.01107407
NM_001199787	SLC35E2	3.380326033	3.653851986	3.089236021	2.399509907	1.883454919	2.193197966	2.620939493	2.447867632	2.268696785
NM_182838	SLC35E2	4.728104115	5.19446373	4.335132122	3.132339716	2.86561799	3.122324705	3.352877617	3.211572886	3.48219347
NM_001198993	NADK	17.6239872	15.97582817	16.57468224	18.35114098	17.55590057	17.9228096	14.4719696	16.53185654	16.24424553
NM_001198994	NADK	15.31411743	13.88549328	14.36502552	15.93066502	15.27106571	15.57567501	12.55564785	14.43120098	14.0911665
NM_001198995	NADK	16.05000496	14.67150402	15.28568268	17.02242088	16.62778664	16.44602394	13.46768379	15.22031116	15.00505066
NM_023018	NADK	17.62141609	15.84314823	16.35363388	18.3855896	17.43272972	17.71545601	14.41306114	16.39585686	16.06749535
NM_002074	GNB1	102.545166	103.6069641	103.2308273	99.89303589	100.4398117	98.77465057	96.27577209	94.03635406	95.53268433
NM_138705	CALML6	0.087755784	0.26201281	0.129750326	0.043147951	0.046145502	0.093451038	0.086338438	0.048958261	0.083116412
NM_178545	TMEM52	3.782063723	2.961045265	2.535007	5.206804276	5.621562481	4.671917439	3.373687744	3.54477191	3.96421051
NM_001080484	KIAA1751	0.092311256	0.091871358	0.030330168	0.040344708	0.010786878	0.021844923	0.080729179	0.022888765	0.048572809
NM_000815	GABRD	0.577205181	0.324691683	0.371052206	0.049356773	0.105571322	0.080173708	0.123452745	0.140007898	0.142614827
NM_002744	PRKCZ	9.969298363	9.198327065	8.434551239	9.211159706	9.064734459	8.293980598	8.010098457	8.64395237	8.380000114
NM_001033581	PRKCZ	9.963561058	9.529443741	8.266763687	9.325896263	9.084551811	8.493014336	8.296269417	8.924345016	8.679275513
NM_001242874	PRKCZ	9.930678368	9.497994423	8.239480972	9.295117378	9.054569244	8.464984894	8.268889427	8.894890785	8.650630951
NM_001033582	PRKCZ	10.49790001	10.0653429	8.690174103	9.827176094	9.575111389	8.928012848	8.721191406	9.408239365	9.169320107
NM_001146310	C1orf86	10.36413479	8.146544456	8.172678947	10.19172001	8.252670288	8.31135273	8.49034977	8.519701958	8.69436264
NM_001256945	C1orf86	17.42424011	13.43093491	13.43686581	17.03358459	14.19267941	13.89809799	13.98316193	14.14287663	14.04379368
NR_046425	C1orf86	13.37960339	10.10377789	10.85255814	12.5142374	11.04202366	10.76751518	10.69158173	11.55553627	11.00842667
NR_046426	C1orf86	13.81817818	10.43799591	11.02000713	13.14173794	11.48483849	11.23771763	11.08449841	11.62993145	11.49010086
NM_001256947	C1orf86	28.83909607	20.02630424	20.47669983	28.92011452	22.61861038	22.20888329	20.19795227	21.08854294	20.37010956
NM_182533	C1orf86	31.34488678	21.56645584	23.90716171	30.23694611	25.15917397	24.98142433	22.75408554	24.69631958	23.78788376
NR_046424	C1orf86	6.094436646	4.42464447	4.875054836	6.019628048	4.860341072	5.022162914	4.586744308	4.975665569	4.953122139
NR_046427	C1orf86	19.96306229	14.2360754	15.44239807	19.7340107	15.59452724	15.39996052	14.12476254	15.60966682	14.09391117
NM_001256946	C1orf86	15.68452358	11.6463604	13.40681934	14.82111549	12.40354156	12.13536072	11.66381836	13.4330349	12.50517273
NM_003036	SKI	11.74937248	9.747293472	10.32968903	11.47899532	10.2021904	10.4746542	7.920163631	8.169989586	7.672699928
NM_024848	MORN1	1.884102345	2.080215454	1.857145309	2.402796507	1.79570961	1.78693068	1.419217587	1.773774743	1.812378407
NR_024489	LOC100129534	0.945560813	0.769954026	0.932032049	0.676240504	0.745820582	1.029811263	0.570859134	0.791281343	0.712386847
NM_007033	RER1	30.66038322	29.460989	28.6262455	33.18066406	31.88481712	32.74964905	28.74114418	28.94857216	30.10080528
NM_002617	PEX10	15.42356014	13.91770554	13.90248299	18.39850998	16.49814034	16.96094513	12.72010803	13.62296391	13.2223196
NM_153818	PEX10	15.00065517	13.5614357	13.52324963	17.93496513	16.06984901	16.5198822	12.37503719	13.33281708	12.92804909
NM_014638	PLCH2	0.089887545	0.059639465	0.039378431	0.009821355	0.052518293	0	0.019652393	0.044575602	0.03783799
NM_018216	PANK4	7.350659847	6.915272713	6.903040886	8.001560211	7.922843933	7.788764954	6.890130997	6.487951756	6.459815979
NM_001010926	HES5	0	0	0	0	0	0	0.036393039	0	0.035034902
NR_026927	LOC115110	1.049732327	1.001199484	0.819147885	1.182808399	1.080982804	1.02470386	0.645486236	0.854054511	0.869956732
NR_037844	LOC100133445	1.8561306	2.346551657	2.076813459	3.453180313	2.532396317	4.006604195	2.072929382	2.182989359	2.185625076
NM_003820	TNFRSF14	4.417521477	4.650112629	4.717176914	6.098352909	5.36055994	5.729490757	3.761111736	4.170692921	3.728034258
NR_036637	FAM213B	19.30241776	18.03863144	18.53388405	20.98118401	18.78028297	19.16831589	15.95426178	17.93450546	17.04851723
NR_036638	FAM213B	19.22633743	17.96686935	18.41741562	20.75275993	18.62514114	18.97459412	15.91414738	17.82667732	17.03010559
NM_001195736	FAM213B	18.71589851	17.52202415	17.89265633	20.26850891	18.24641228	18.45757103	15.40628433	17.31985283	16.51341629
NM_001195737	FAM213B	18.93566895	17.59255028	18.00984192	20.32282448	18.29611588	18.47022629	15.55066776	17.38241386	16.69259071
NM_001195738	FAM213B	18.96806335	17.72082329	18.12379456	20.4190464	18.41099548	18.56738853	15.59474182	17.50915527	16.74757957
NM_001195740	FAM213B	18.87459946	17.594841	17.97963715	20.27060509	18.23079491	18.63354683	15.45103455	17.34113503	16.72729492
NM_001195741	FAM213B	18.64197731	17.38003349	17.62451363	19.93678284	17.77453995	18.34555244	15.12944984	17.03692245	16.40262222
NM_152371	FAM213B	19.04528236	17.79368973	18.24083519	20.64580345	18.56485939	18.76112747	15.63757038	17.61803818	16.76880264
NM_033467	MMEL1	2.596930265	2.302904606	2.494138956	2.799278975	2.398500919	2.605921745	1.703324556	1.87601912	1.828962207
NM_001242672	TTC34	0.081649959	0	0	0	0.02862321	0.028982984	0.053554151	0	0
NM_080431	ACTRT2	0	0	0	0	0	0	0	0	0
NR_015440	FLJ42875	0.130284682	0.168562979	0.115578562	0.128117293	0.095912457	0.166488022	0.140998498	0.130832627	0.061698474
NR_024371	FLJ42875	0.701267779	0.620378673	0.307215244	0.842846513	0.655563831	0.746779263	0.613281369	0.695523143	0.295197338
NM_022114	PRDM16	0.47628364	0.358266383	0.436715484	0.93672055	0.862010479	0.943616569	0.697438002	0.655018091	0.676656067
NM_199454	PRDM16	0.473841697	0.349526733	0.428598255	0.915472388	0.850092113	0.926077545	0.652664125	0.640666187	0.659987092
NR_036215	MIR4251	0	0	0	0	0	0	0	0	0
NM_014448	ARHGEF16	1.730094433	1.67218101	1.75453341	15.36089325	14.20614052	13.72924042	1.603950381	1.744795322	1.54409337
NM_001409	MEGF6	6.325246811	6.359735966	5.549821377	11.76312065	9.937225342	10.30417252	5.379712105	5.470735073	5.431130409
NR_030277	MIR551A	0	0	0	0	0	0	0	0	0
NM_182752	TPRG1L	9.395183563	11.29181194	10.3791151	15.73742771	14.77922344	14.68942738	9.87011528	10.30531979	10.51982498
NM_017818	WRAP73	12.28353691	12.22500134	12.55622482	14.90326118	12.79873562	13.71659374	11.38577271	12.34154415	12.44207191
NM_001204184	TP73	4.123870373	3.43764019	3.668755054	2.117018461	2.15340209	2.251792431	3.002941132	2.733052015	2.872751236
NM_001204185	TP73	4.053205013	3.398479939	3.699624538	2.102283239	2.116076946	2.183880091	2.997943878	2.730770826	2.913551569
NM_001204186	TP73	4.099361897	3.413320303	3.620635986	2.025561094	2.091580391	2.107064486	2.964966297	2.683264256	2.844707489
NM_001204187	TP73	4.081664562	3.394990444	3.634544611	2.094137192	2.135934114	2.173280001	2.987556458	2.739154577	2.885403156
NM_001204188	TP73	4.069744587	3.416554928	3.687848568	2.03526783	2.072013855	2.119250059	2.976088524	2.675722599	2.87444973
NM_005427	TP73	4.095463276	3.440248489	3.731324196	2.12451005	2.133800983	2.260650158	3.012746334	2.725022554	2.900315046
NM_001126240	TP73	3.99119997	3.361798048	3.571377277	2.069104195	2.034232616	2.230614185	2.952015638	2.663568258	2.886533976
NM_001126241	TP73	4.017786503	3.357709885	3.505530119	2.060542107	2.052060843	2.221154213	2.941029549	2.67048502	2.858586073
NM_001126242	TP73	3.945620775	3.317484379	3.534736872	2.045113802	2.013442039	2.152588367	2.935324192	2.667500973	2.899418592
NM_001204189	TP73	3.986711502	3.328413963	3.447256088	1.965208054	1.98377943	2.073861599	2.899107218	2.616652489	2.829545498
NM_001204190	TP73	3.972141504	3.312417507	3.466171741	2.035827637	2.031414509	2.141335726	2.923681021	2.674705029	2.870865345
NM_001204191	TP73	3.959144354	3.333315849	3.518161535	1.976135015	1.966216683	2.086750984	2.911563635	2.610370874	2.859724283
NM_001204192	TP73	4.125771046	3.475147486	3.691793203	2.129276752	2.102820635	2.305823565	3.051548481	2.753375769	2.983859301
NR_033708	TP73-AS1	0.094794326	0.153306708	0.070078529	0.034956504	0.024923325	0.025236594	0.163210765	0.105770014	0.044891424
NR_033709	TP73-AS1	0.082404368	0.133268967	0.060919017	0.030387565	0.021665756	0.021938078	0.14187853	0.091945484	0.039023954
NR_033710	TP73-AS1	0.065008655	0.105135657	0.048058905	0.023972696	0.017092075	0.017306911	0.119922549	0.072535627	0.030785926
NR_033711	TP73-AS1	0.06030215	0.097524025	0.044579528	0.022237116	0.015854642	0.016053922	0.111240387	0.067284182	0.028557083
NR_033712	TP73-AS1	0.116268501	0.188035965	0.085953727	0.042875357	0.030569315	0.030953549	0.2001836	0.129730552	0.055060875
NM_152492	CCDC27	0.022221508	0	0.065710716	0.021851836	0.023369916	0	0	0	0.042093456
NM_001163724	SMIM1	3.981556892	3.082009315	1.744262338	0.348028511	0.465258211	0.376884937	3.394950628	3.060429335	2.262638807
NM_020710	LRRC47	22.0932312	21.06194878	22.28064728	23.64530373	23.46524811	22.57509422	21.35947037	21.92355537	21.91015244
NM_014704	CEP104	5.393495083	5.06999588	4.593719482	4.928607464	4.602295399	4.795566082	4.56304884	4.665809631	4.867464542
NM_004402	DFFB	2.472913265	2.588154793	2.43753171	3.592750549	3.909459591	3.754722357	2.417276382	2.242993116	1.964407563
NM_207356	C1orf174	14.06370735	13.0731945	14.66279697	12.40399933	11.1615057	11.14740181	14.15038204	14.33316231	15.46242237
NR_024455	LOC100133612	0.19799	0.517247081	0.317130476	0.146022215	0.208222121	0.184484407	0.170443207	0.165685579	0.187522888
NR_040065	LOC728716	0	0	0	0	0	0	0	0	0
NR_027088	LOC284661	0	0	0.045919351	0	0	0	0	0.025989896	0
NM_001042478	AJAP1	0.023337953	0.023226738	0	0	0	0	0	0	0
NM_018836	AJAP1	0.016527388	0.016448628	0.01629092	0	0	0	0	0	0
NR_039612	MIR4417	0	0	0	0	0	0	0	0	0
NR_039838	MIR4689	0	0	0	0	0	0	0	0	0
NM_015102	NPHP4	2.336313486	2.478910923	2.055468798	2.382889509	2.264144897	2.292603731	2.659513474	2.283661842	2.368244648
NM_001199861	KCNAB2	1.970432162	1.701824069	1.250177383	1.280632377	1.333871126	1.410933256	5.748974323	5.205826283	5.169759274
NM_003636	KCNAB2	1.986110687	1.736706257	1.267408848	1.286994219	1.352256179	1.418154836	5.839508533	5.290388584	5.23014164
NM_172130	KCNAB2	1.994537711	1.719592571	1.280186534	1.299969316	1.353693724	1.420103669	5.875562668	5.330786228	5.271887302
NM_001199860	KCNAB2	1.951787353	1.695464849	1.223264813	1.264752865	1.328886986	1.393646955	5.727492332	5.161197662	5.13975668
NM_001199862	KCNAB2	1.952840567	1.677455544	1.225978017	1.200221062	1.271377444	1.34924984	5.672410011	5.13609314	5.086400509
NM_001199863	KCNAB2	2.156441927	1.897524595	1.386816859	1.344750404	1.424343586	1.526260853	6.390712738	5.795237064	5.753696442
NM_015557	CHD5	0.054993805	0.074634194	0.088702329	0.073744014	0.021031231	0.03726726	0.063942976	0.055782925	0.052086454
NM_000983	RPL22	188.7895813	194.2313232	199.4490051	238.4864044	259.3187256	252.8813782	214.3947906	208.1407166	214.2063599
NM_207396	RNF207	3.649677277	3.511208773	3.41758585	5.921787262	4.989779949	5.985267162	2.573357105	2.701260567	2.269919634
NM_012405	ICMT	25.26344109	23.38563347	23.35920525	26.22443581	25.23954773	24.74478531	24.35198402	23.55389404	23.14862061
NM_001024598	HES3	0	0.137960806	0	0	0	0	0	0	0
NM_207370	GPR153	9.349473953	8.256644249	8.270804405	3.374989986	3.248510122	3.188518763	8.022463799	7.870214462	7.81275034
NM_007274	ACOT7	61.23671722	56.60311127	59.27892685	54.37516785	54.40907669	53.83890533	52.95370483	57.21785736	53.05619812
NM_181864	ACOT7	63.20376968	58.49406815	62.47529221	55.69152451	55.30840683	55.62369156	55.30948639	59.54212952	55.58248138
NM_181865	ACOT7	71.04545593	65.66361237	70.36196136	63.02005768	62.67282486	62.99289703	62.3198967	67.05840302	62.71395111
NM_181866	ACOT7	71.84936523	66.44062042	71.15813446	64.06912231	63.59756851	64.10588837	63.0586853	67.81719208	63.48830032
NM_019089	HES2	1.372172952	1.230199099	1.386074305	1.39395225	1.514644742	1.594063997	1.439267755	1.37920928	1.342593431
NM_031475	ESPN	0.478854328	0.503805101	0.323659241	2.677335978	2.762614012	2.826477051	0.524962604	0.412172824	0.310998052
NR_036218	MIR4252	0	0	0	0	0	0	0	0	0
NM_003790	TNFRSF25	1.787036657	2.07494092	1.849541903	2.489519596	1.879390717	2.378766775	1.142813206	1.362530708	1.297630668
NM_148965	TNFRSF25	1.757776618	2.040966749	1.819258213	2.44875741	1.848618507	2.37101531	1.124101162	1.340221167	1.276383758
NM_148966	TNFRSF25	1.758455157	2.03645134	1.764810205	2.54664278	1.95020473	2.485420227	1.100943565	1.248581409	1.332392931
NM_148967	TNFRSF25	1.819324374	1.939987063	1.825317383	2.396060467	1.810846448	2.421745539	1.086749434	1.304982901	1.138504744
